,index,package,github_repo,tags,search_terms,forks,stars,so_questions_counts,downloads,dl_growth_rates
125,125,koto,kotojs/kotojs,[koto],[koto;kotojs],13,272,7,1069,0.0508917337546
126,126,leaflet,Leaflet/Leaflet,[leaflet],[leaflet],3252,19127,5782,1007700,0.0912900337186
127,127,leaflet-d3,Asymmetrik/leaflet-d3,[dc.leaflet.js],[dc.leaflet.js],26,143,26,NA,NA
128,128,leaflet-dvf,humangeo/leaflet-dvf,[leaflet-dvf],[leaflet-dvf],111,489,0,871,-0.214705865772
129,129,mapmap,mapmapteam/mapmap,[mapmap],[mapmap],15,75,0,332,0.0412552323253
130,130,mapsense.js,mapsense/mapsense.js,[mapsense.js],[mapsense.js],24,82,0,0,NA
131,131,maptable,Packet-Clearing-House/maptable,[maptable],[maptable],5,48,0,49,-0.0427851196966
132,132,mermaid,knsv/mermaid,[mermaid],[d3-mermaid],733,13590,0,33457,0.0907746916525
133,133,metrics-graphics,mozilla/metrics-graphics,[metricsgraphicsjs],[metrics-graphics;metricsgraphicsjs],436,6696,160,11845,0.0416176729254
134,134,micropolar,biovisualize/micropolar,[micropolar],[micropolar],20,108,0,NA,NA
135,135,modestmaps,stamen/modestmaps-js,[modestmaps.js],[modestmap;modestmapsjs],161,566,10,10237,-0.223164966515
136,136,morris.js,morrisjs/morris.js,[morris.js],[morris-charts;morrisjs;morris.js],1146,6593,1019,47247,0.0807520362641
137,137,mpld3,mpld3/mpld3,[mpld3],[mpld3],258,1489,85,NA,NA
138,138,n3-charts,n3-charts/line-chart,[n3-charts],[n3-charts;n3-line-chart],200,1216,46,13330,-0.0654696469862
139,139,netvis,dborzov/netvis,[netvis],[netvis],0,9,0,NA,NA
140,140,nvd3,novus/nvd3,[nvd3.js],[nvd3;nvd3js],2074,6104,2015,422159,0.0151473449031
141,141,peek,mtmacdonald/peek,[peek-d3],[peek-d3],5,64,0,583,0.160733311949
142,142,peity,benpickles/peity,[peity],[peity],367,3856,0,19759,0.0878970616803
143,143,piecon,lipka/piecon,[piecon],[piecon],122,2338,0,1461,0.254392344475
144,144,pizza pie charts,zurb/pizza,[pizza-pie-charts],[pizza-pie-charts],65,423,0,82,0.0198244513278
145,145,plotly.js,plotly/plotly.js,[plotly],[plotly;plotlyjs],705,6673,95024,188821,0.0347455987218
146,146,plottable,palantir/plottable,[plottable.js;plottable],[plottable;plottablejs],182,2171,94853,36553,0.486324049494
147,147,pykcharts,pykih/PykCharts.js,[pykcharts],[pykcharts;pykchartsjs],59,272,7,NA,NA
148,148,radar-chart-d3,alangrafu/radar-chart-d3,[radar-chart-d3],[radar-chart-d3],128,295,0,825,0.0886767766987
149,149,react d3 map,react-d3/react-d3-map,[react-d3-map],[react-d3-map],22,88,0,24720513,0.0589483137684
150,150,react-d3,esbullington/react-d3,[react-d3],[react-d3],179,1635,29,50074,0.0278642212038
151,151,react-d3-components,codesuki/react-d3-components,[react-d3-components],[react-d3-components],164,1252,0,35692,0.0304511934129
152,152,react-d3-library,react-d3-library/react-d3-library,[react-d3-library],[react-d3-library],41,752,0,5769,-0.0842688190431
153,153,react-stockcharts,rrag/react-stockcharts,[react-stockcharts],[react-stockcharts],231,864,0,17526,0.0800697610681
154,154,react-vis,uber/react-vis,[react-vis],[react-vis],164,2142,3,40043,0.139305056385
155,155,recharts,recharts/recharts,[recharts],[recharts],438,6321,20,598825,0.14108878728
156,156,rickshaw,shutterstock/rickshaw,[rickshaw],[rickshaw;rickshawjs],952,6075,235,30494,-0.014670945109
157,157,sankey,tamc/Sankey,[sankey],[d3-sankey],77,196,0,327,-0.0590377923424
158,158,sigma,jacomyal/sigma.js,[sigma.js],[sigma-js;sigmajs],1170,7403,104,4979,0.0909358834586
159,159,simple map,vdw/MapIt,[simple map],[d3-simple-map],8,42,0,220,-0.0530750935594
160,160,smoothie,joewalnes/smoothie,[smoothie.js],[smoothie-charts;smoothie.js;smoothiejs],157,1649,28,4769,0.0352487015357
161,161,spam,newsappsio/spam,[d3-spam],[d3-spam],8,82,0,1839,-0.150720845592
162,162,swoopyarrows,bizweekgraphics/swoopyarrows,[swoopyarrows],[swoopyarrows],3,79,0,NA,NA
163,163,taucharts,TargetProcess/tauCharts,[taucharts; taucharts.js],[taucharts;tauchartsjs],88,1361,4,20583,0.273708996964
164,164,techan,andredumas/techan.js,[techan.js],[techan; techanjs],258,990,14,2615,0.0735864304428
165,165,textures,riccardoscalco/textures,[textures.js],[textures.js],185,4220,0,6615,0.120563461875
166,166,timelinejs3,NUKnightLab/TimelineJS3,[timelinejs3],[timelinejs3],297,1129,0,153,NA
167,167,uvcharts,Imaginea/uvCharts,[uvcharts],[uvcharts],76,228,1,47,0.0576809264052
168,168,vega,vega/vega,[vega],[vega],567,5187,87,66744,0.0140238790463
169,169,victory,FormidableLabs/victory,[victory-charts],[victory-charts],140,4685,5,159738,0.0685924422712
170,170,vis.js,almende/vis,[vis.js],[vis.js; visjs],988,5491,444,NA,NA
171,171,vivagraphjs,anvaka/VivaGraphJS,[vivagraphjs],[vivagraph; vivagraphjs],299,2340,58,2738,0.0135468495955
172,172,vizabi,vizabi/vizabi,[vizabi],[vizabi],46,138,0,544781,-0.0495656349098
173,173,vizceral,Netflix/vizceral,[vizceral],[vizceral],134,1544,0,10270,-0.117836244814
174,174,vx,hshoff/vx,[d3-vx],[d3-vx],76,2397,0,190,0.109628992185
175,175,webcharts,RhoInc/Webcharts,[webcharts],[webcharts],1,13,0,706,-0.0609796911194
176,176,webcola,tgdwyer/WebCola,[webcola],[webcola;cola.js;colajs],155,1001,25,21133,0.210441094266
177,177,xcharts,tenXer/xcharts,[xcharts],[xcharts],194,1794,10,526,0.0933572837892
178,178,xkcdplot,tlrobinson/xkcdplot,[xkcdplot],[xkcdplot],0,0,0,184,-0.186941477572
179,179,zingchart,zingchart/ZingChart,[zingchart],[zingchart],27,146,195,10203,0.106328499243
